seqnames	start	end	width	strand	peakNames	peak	feature	start_position	end_position	feature_strand	insideFeature	distancetoFeature	shortestDistance	fromOverlappingOrNearest	symbol
chr18	71423645	71423867	223	*	c("macs_OLAPMMS1__OLAPMMS_1_new_peak_348", "macs_OLAPMMS2__OLAPMMS_2_new_peak_259")	13	ENSG00000222180	71402171	71422170	+	downstream	21474	1475	NearestLocation	NA
chr18	71423645	71423867	223	*	c("macs_OLAPMMS1__OLAPMMS_1_new_peak_348", "macs_OLAPMMS2__OLAPMMS_2_new_peak_259")	13	ENSG00000241866	71402171	71422170	+	downstream	21474	1475	NearestLocation	NA
chr2	5512064	5512251	188	*	c("macs_OLAPMMS2__OLAPMMS_2_new_peak_272", "macs_OLAPMMS1__OLAPMMS_1_new_peak_363")	14	ENSG00000228585	5444268	5464267	-	upstream	-47797	47797	NearestLocation	NA
chr2	100615495	100615723	229	*	c("macs_OLAPMMS1__OLAPMMS_1_new_peak_384", "macs_OLAPMMS2__OLAPMMS_2_new_peak_289")	15	ENSG00000230393	100711382	100731381	+	upstream	-95887	95659	NearestLocation	NA
chr2	150957401	150957710	310	*	c("macs_OLAPMMS1__OLAPMMS_1_new_peak_396", "macs_OLAPMMS2__OLAPMMS_2_new_peak_301")	16	ENSG00000230645	151017938	151037937	+	upstream	-60537	60228	NearestLocation	NA
chr2	151031071	151031303	233	*	c("macs_OLAPMMS2__OLAPMMS_2_new_peak_302", "macs_OLAPMMS1__OLAPMMS_1_new_peak_397")	17	ENSG00000230645	151017938	151037937	+	inside	13133	6634	NearestLocation	NA
chr3	71594644	71594833	190	*	c("macs_OLAPMMS2__OLAPMMS_2_new_peak_374", "macs_OLAPMMS1__OLAPMMS_1_new_peak_491")	18	ENSG00000221264	71581241	71601240	-	inside	6596	6407	NearestLocation	MIR1284
chr3	81603549	81603729	181	*	c("macs_OLAPMMS1__OLAPMMS_1_new_peak_494", "macs_OLAPMMS2__OLAPMMS_2_new_peak_378")	19	ENSG00000240404	81651942	81671941	+	upstream	-48393	48213	NearestLocation	NA
chr3	106398010	106398218	209	*	c("macs_OLAPMMS2__OLAPMMS_2_new_peak_387", "macs_OLAPMMS1__OLAPMMS_1_new_peak_507")	20	ENSG00000200361	106397526	106417525	+	inside	484	484	NearestLocation	NA
chr3	107962138	107962356	219	*	c("macs_OLAPMMS1__OLAPMMS_1_new_peak_509", "macs_OLAPMMS2__OLAPMMS_2_new_peak_390")	21	ENSG00000114446	107931418	107951417	-	upstream	-10721	10721	NearestLocation	IFT57
chr3	130515474	130515683	210	*	c("macs_OLAPMMS1__OLAPMMS_1_new_peak_513", "macs_OLAPMMS2__OLAPMMS_2_new_peak_394")	22	ENSG00000232829	130536506	130556505	+	upstream	-21032	20823	NearestLocation	NA
chr3	173916103	173916336	234	*	c("macs_OLAPMMS2__OLAPMMS_2_new_peak_406", "macs_OLAPMMS1__OLAPMMS_1_new_peak_531")	23	ENSG00000232601	174011078	174031077	-	downstream	114974	94742	NearestLocation	NA
chr4	69536400	69536610	211	*	c("macs_OLAPMMS2__OLAPMMS_2_new_peak_433", "macs_OLAPMMS1__OLAPMMS_1_new_peak_562")	24	ENSG00000196620	69526375	69546374	-	inside	9974	9764	NearestLocation	UGT2B15
chr4	78526394	78526603	210	*	c("macs_OLAPMMS1__OLAPMMS_1_new_peak_566", "macs_OLAPMMS2__OLAPMMS_2_new_peak_437")	25	ENSG00000156234	78422908	78442907	+	downstream	103486	83487	NearestLocation	CXCL13
chr5	96223351	96223573	223	*	c("macs_OLAPMMS2__OLAPMMS_2_new_peak_473", "macs_OLAPMMS1__OLAPMMS_1_new_peak_615")	26	ENSG00000164308	96201645	96221644	+	downstream	21706	1707	NearestLocation	ERAP2
chr5	103895252	103895456	205	*	c("macs_OLAPMMS1__OLAPMMS_1_new_peak_617", "macs_OLAPMMS2__OLAPMMS_2_new_peak_476")	27	ENSG00000232402	103941669	103961668	+	upstream	-46417	46213	NearestLocation	NA
chr5	126851539	126851792	254	*	c("macs_OLAPMMS1__OLAPMMS_1_new_peak_624", "macs_OLAPMMS2__OLAPMMS_2_new_peak_482")	28	ENSG00000164244	126843320	126863319	+	inside	8219	8219	NearestLocation	PRRC1
chr6	49874614	49874827	214	*	c("macs_OLAPMMS1__OLAPMMS_1_new_peak_655", "macs_OLAPMMS2__OLAPMMS_2_new_peak_505")	29	ENSG00000124812	49824213	49844212	-	upstream	-30402	30402	NearestLocation	CRISP1
chr6	130329369	130329549	181	*	c("macs_OLAPMMS2__OLAPMMS_2_new_peak_517", "macs_OLAPMMS1__OLAPMMS_1_new_peak_672")	30	ENSG00000198945	130329735	130349734	+	upstream	-366	186	NearestLocation	L3MBTL3
chr8	120989746	120989941	196	*	c("macs_OLAPMMS1__OLAPMMS_1_new_peak_767", "macs_OLAPMMS2__OLAPMMS_2_new_peak_583")	31	ENSG00000187955	121062020	121082019	+	upstream	-72274	72079	NearestLocation	COL14A1
chr9	83645011	83645218	208	*	c("macs_OLAPMMS1__OLAPMMS_1_new_peak_784", "macs_OLAPMMS2__OLAPMMS_2_new_peak_598")	32	ENSG00000226798	83476211	83496210	-	upstream	-148801	148801	NearestLocation	NA
chr9	104968807	104968984	178	*	c("macs_OLAPMMS2__OLAPMMS_2_new_peak_605", "macs_OLAPMMS1__OLAPMMS_1_new_peak_795")	33	ENSG00000238882	105008887	105028886	+	upstream	-40080	39903	NearestLocation	NA
chrX	10957559	10957782	224	*	c("macs_OLAPMMS2__OLAPMMS_2_new_peak_616", "macs_OLAPMMS1__OLAPMMS_1_new_peak_809")	34	ENSG00000101871	10841774	10861773	-	upstream	-95786	95786	NearestLocation	MID1
chrX	36867641	36867862	222	*	c("macs_OLAPMMS2__OLAPMMS_2_new_peak_619", "macs_OLAPMMS1__OLAPMMS_1_new_peak_813")	35	ENSG00000235510	36965987	36985986	+	upstream	-98346	98125	NearestLocation	NA
